,cidade,cod_ibge_cidade,datahora,semana_epidemiologica,populacao_estimada,populacao_estimada_2019,eh_ultimo,eh_repetido,ultimo_disponivel_confirmado,ultimo_disponivel_confirmado_por_100mil_habitantes,ultimo_disponivel_datahora,ultimo_disponivel_taxa_mortalidade,ultimo disponivel obitos,ordem_por_lugar,tipo_de_lugar,estado,casos_novos,obitos_novos,mes,dia,ano,casos_acumulados
1300681,Curitiba,4106902.0,2020-03-12,202011,1948626.0,1933105.0,False,False,5,0.25659,2020-03-12,0.0,0,1,cidade,PR,5,0,3,12,2020,5
1300684,Curitiba,4106902.0,2020-03-13,202011,1948626.0,1933105.0,False,False,5,0.25659,2020-03-13,0.0,0,2,cidade,PR,0,0,3,13,2020,5
1300687,Curitiba,4106902.0,2020-03-14,202011,1948626.0,1933105.0,False,True,5,0.25659,2020-03-13,0.0,0,3,cidade,PR,0,0,3,14,2020,5
1300690,Curitiba,4106902.0,2020-03-15,202012,1948626.0,1933105.0,False,True,5,0.25659,2020-03-13,0.0,0,4,cidade,PR,0,0,3,15,2020,5
1300693,Curitiba,4106902.0,2020-03-16,202012,1948626.0,1933105.0,False,False,5,0.25659,2020-03-16,0.0,0,5,cidade,PR,0,0,3,16,2020,5
1300697,Curitiba,4106902.0,2020-03-17,202012,1948626.0,1933105.0,False,False,7,0.35923,2020-03-17,0.0,0,6,cidade,PR,2,0,3,17,2020,7
1300703,Curitiba,4106902.0,2020-03-18,202012,1948626.0,1933105.0,False,False,8,0.41055,2020-03-18,0.0,0,7,cidade,PR,1,0,3,18,2020,8
1300711,Curitiba,4106902.0,2020-03-19,202012,1948626.0,1933105.0,False,False,17,0.87241,2020-03-19,0.0,0,8,cidade,PR,9,0,3,19,2020,17
1300719,Curitiba,4106902.0,2020-03-20,202012,1948626.0,1933105.0,False,False,27,1.3855899999999999,2020-03-20,0.0,0,9,cidade,PR,10,0,3,20,2020,27
1300728,Curitiba,4106902.0,2020-03-21,202012,1948626.0,1933105.0,False,False,31,1.59086,2020-03-21,0.0,0,10,cidade,PR,4,0,3,21,2020,31
1300741,Curitiba,4106902.0,2020-03-22,202013,1948626.0,1933105.0,False,False,31,1.59086,2020-03-22,0.0,0,11,cidade,PR,0,0,3,22,2020,31
1300756,Curitiba,4106902.0,2020-03-23,202013,1948626.0,1933105.0,False,False,34,1.74482,2020-03-23,0.0,0,12,cidade,PR,3,0,3,23,2020,34
1300771,Curitiba,4106902.0,2020-03-24,202013,1948626.0,1933105.0,False,False,40,2.05273,2020-03-24,0.0,0,13,cidade,PR,6,0,3,24,2020,40
1300789,Curitiba,4106902.0,2020-03-25,202013,1948626.0,1933105.0,False,False,60,3.0790900000000003,2020-03-25,0.0,0,14,cidade,PR,20,0,3,25,2020,60
