,cidade,cod_ibge_cidade,datahora,semana_epidemiologica,populacao_estimada,populacao_estimada_2019,eh_ultimo,eh_repetido,ultimo_disponivel_confirmado,ultimo_disponivel_confirmado_por_100mil_habitantes,ultimo_disponivel_datahora,ultimo_disponivel_taxa_mortalidade,ultimo disponivel obitos,ordem_por_lugar,tipo_de_lugar,estado,casos_novos,obitos_novos,mes,dia,ano,casos_acumulados
1300682,,41.0,2020-03-12,202011,11516840.0,11433957.0,False,False,6,0.0521,2020-03-12,0.0,0,1,estado,PR,6,0,3,12,2020,6
1300685,,41.0,2020-03-13,202011,11516840.0,11433957.0,False,False,6,0.0521,2020-03-13,0.0,0,2,estado,PR,0,0,3,13,2020,6
1300688,,41.0,2020-03-14,202011,11516840.0,11433957.0,False,True,6,0.0521,2020-03-13,0.0,0,3,estado,PR,0,0,3,14,2020,6
1300691,,41.0,2020-03-15,202012,11516840.0,11433957.0,False,True,6,0.0521,2020-03-13,0.0,0,4,estado,PR,0,0,3,15,2020,6
1300694,,41.0,2020-03-16,202012,11516840.0,11433957.0,False,False,6,0.0521,2020-03-16,0.0,0,5,estado,PR,0,0,3,16,2020,6
1300700,,41.0,2020-03-17,202012,11516840.0,11433957.0,False,False,12,0.1042,2020-03-17,0.0,0,6,estado,PR,6,0,3,17,2020,12
1300708,,41.0,2020-03-18,202012,11516840.0,11433957.0,False,False,14,0.12155999999999999,2020-03-18,0.0,0,7,estado,PR,2,0,3,18,2020,14
1300716,,41.0,2020-03-19,202012,11516840.0,11433957.0,False,False,23,0.19971,2020-03-19,0.0,0,8,estado,PR,9,0,3,19,2020,23
1300725,,41.0,2020-03-20,202012,11516840.0,11433957.0,False,False,36,0.31259000000000003,2020-03-20,0.0,0,9,estado,PR,13,0,3,20,2020,36
1300737,,41.0,2020-03-21,202012,11516840.0,11433957.0,False,False,43,0.37337,2020-03-21,0.0,0,10,estado,PR,7,0,3,21,2020,43
1300751,,41.0,2020-03-22,202013,11516840.0,11433957.0,False,False,54,0.46888,2020-03-22,0.0,0,11,estado,PR,11,0,3,22,2020,54
1300766,,41.0,2020-03-23,202013,11516840.0,11433957.0,False,False,60,0.52098,2020-03-23,0.0,0,12,estado,PR,6,0,3,23,2020,60
1300783,,41.0,2020-03-24,202013,11516840.0,11433957.0,False,False,70,0.6078100000000001,2020-03-24,0.0,0,13,estado,PR,10,0,3,24,2020,70
1300802,,41.0,2020-03-25,202013,11516840.0,11433957.0,False,False,97,0.84224,2020-03-25,0.0,0,14,estado,PR,27,0,3,25,2020,97
